#Table1
z
0.2000635
0.2002025
0.2006983
0.2007145
0.2008164
0.2016456
0.2021287
0.202323
0.202423
0.2027414
0.2028886
0.2032206
0.2038184
0.2039043
0.2039115
0.2043802
0.2046994
0.2048089
0.2049424
0.2051859
0.2054561
0.2056596
0.205864
0.2059117
0.206059
0.2066993
0.2067013
0.2069821
0.2070184
0.2070305
0.2070582
0.2070802
0.2070977
0.2075152
0.2081896
0.2099329
0.2100255
0.2100757
0.2102321
0.2102365
0.2102377
0.210698
0.2112872
0.2113464
0.211408
0.2115743
0.2116747
0.2117095
0.2117148
0.2120196
0.2128061
0.2133978
0.2136114
0.2136255
0.2140369
0.2140936
0.2142242
0.2142847
0.2145521
0.2147423
0.2148786
0.2150763
0.2152913
0.2154349
0.2157131
0.2157844
0.215807
0.2163579
0.216592
0.2166242
0.2166744
0.217663
0.2189195
0.2193782
0.2195806
0.2199994
0.2200035
0.22008
0.2213818
0.2214024
0.2214801
0.2215893
0.2221461
0.2229657
0.2229723
0.2233281
0.2237756
0.2239212
0.2243086
0.2244391
0.2244756
0.2246741
0.2246909
0.2248707
0.2252092
0.22539
0.2256289
0.2262444
0.2267333
0.2275219
0.2277339
0.2278476
0.2278517
0.2279073
0.2285385
0.2286211
0.2289794
0.2294204
0.2294977
0.2297603
0.2298228
0.2299308
0.2299361
0.2299951
0.2312534
0.2314527
0.2316723
0.2329704
0.2334062
0.2340502
0.2341171
0.2345668
0.2352674
0.2354332
0.2372941
0.2417046
0.2429701
0.2430237
0.2442542
0.2453009
0.2456771
0.246165
0.2468798
0.2470674
0.2475582
0.2475648
0.2495085
0.249678
0.249869
0.2503793
0.2506068
0.2510643
0.2536508
0.2542055
0.254536
0.2553562
0.2555113
0.2555214
0.2563599
0.2568065
0.2568454
0.2569599
0.2572027
0.2576703
0.2590806
0.2595255
0.2596084
0.2596332
0.2602589
0.2603633
0.2604258
0.2607116
0.2608379
0.2608778
0.2613097
0.2613121
0.2620331
0.2630075
0.2639008
0.2639789
0.2642079
0.2643372
0.2644567
0.2652147
0.265992
0.2660766
0.2664476
0.2666389
0.267375
0.2673857
0.2691181
0.2696567
0.2700495
0.2702392
0.2703958
0.2723199
0.2723621
0.2741998
0.2743728
0.2762348
0.276254
0.2764803
0.2765079
0.2766711
0.2782883
0.2784385
0.2803154
0.2804805
0.2811111
0.2811601
0.2814868
0.2816824
0.2817673
0.2818003
0.2820726
0.2824548
0.28265
0.2830649
0.2831346
0.2831911
0.2835454
0.2837918
0.2838936
0.2840327
0.284162
0.2841762
0.2842267
0.2842728
0.2843021
0.2846187
0.2846692
0.2847115
0.2848697
0.2850462
0.2850525
0.2851987
0.2852845
0.2852917
0.285333
0.2855108
0.2856884
0.2859863
0.2861604
0.2861626
0.2864511
0.2864749
0.2866857
0.2867163
0.2867319
0.2869214
0.2870434
0.2872787
0.2877363
0.2879128
0.2880155
0.293029
0.2958458
0.2962218
0.2971102
0.2974386
0.297485
0.2977491
0.2980809
0.2990062
0.3000297
0.3016813
0.3021874
0.3023261
0.3024115
0.3030766
0.3038671
0.3044008
0.3063682
0.3068873
0.3069658
