#Table1
ra,dec,modelMag_g
206.635731934798,49.3664589653352,4.424068
310.262847790933,45.2807860535806,4.964627
177.275293329401,14.597156356525,5.344326
155.460194972713,41.3886292042292,5.478663
113.640049322356,31.9102349273981,5.52002
310.262967494846,45.2809125212464,5.857708
165.437108210691,56.4261149779793,5.905761
46.068839749312,-7.60102106717584,5.944209
351.684952470525,1.26986463611617,6.11467
138.330098416716,43.2469115249339,6.166673
60.6976654095258,-0.279118403683127,6.191993
220.642068671298,-5.57364485319206,6.216295
220.642069095071,-5.57364750763094,6.216361
48.1935502074869,-1.19597330077749,6.220241
41.8576579357017,29.3120233191329,6.254924
153.985797394609,23.3759960825172,6.261313
153.985796299263,23.3759956705422,6.26147
342.343453206419,24.549764577866,6.274957
331.201750375125,-0.86120766380307,6.284409
33.8708839644175,25.7821860770398,6.3006
205.374197870681,64.8224163882586,6.333216
337.386911535557,4.43437386022996,6.355409
33.8709108428322,25.7822734905802,6.373368
45.6743237840006,-7.6590103201199,6.378109
16.3378064747349,14.9656012290768,6.378887
47.9837745266838,27.2777898637606,6.384899
245.377029611298,19.2424015281684,6.394243
259.387509506599,37.3447616324842,6.409904
331.127664908562,-0.834548473610084,6.436843
357.344444476853,1.13300462599761,6.44362
357.364603817108,1.07619264472093,6.453722
21.6160236698231,19.2223813126994,6.461452
210.314831274861,1.60945092324112,6.464291
210.314814529528,1.60945236504072,6.464293
60.5820031719828,-0.280063673229756,6.46979
21.6159112657899,19.2223937385528,6.471061
331.197758589145,-0.906154997281805,6.501513
48.1473306482908,-1.22555225354596,6.502949
214.915633363665,-2.26602951490757,6.5137
38.0317190818377,-0.980444303751847,6.516327
60.5819892951679,-0.280081134564423,6.522198
249.219464583663,15.4482773415509,6.529255
215.769403302169,25.2745966528421,6.530304
38.0661543321017,-1.03470893012673,6.531274
331.129426739134,-0.884885855188344,6.531846
133.720454411107,5.89631354868555,6.536228
178.7613297444,8.43220496937949,6.55793
206.506123222602,40.9995870004113,6.60453
347.359518005355,74.3485915524961,6.604913
19.9754804782443,-0.483495915672445,6.612563
196.794521763563,27.6245463930511,6.612822
125.970105621517,53.1754431868987,6.61295
3.70947389960259,27.2868975242349,6.614815
357.364516756636,1.07616465347225,6.62412
217.403218533247,0.839058693580832,6.624591
134.601569664448,47.9210813357815,6.628426
134.601574596343,47.9210877323974,6.628457
37.9960324288916,-1.0378471978158,6.629357
357.34442437467,1.1330150696655,6.63655
56.2088042941984,-0.281271714790234,6.639845
220.642065284169,-5.57362876131732,6.642027
258.303105953967,35.4368143706081,6.647679
331.197508694512,-0.906130631610162,6.64832
54.0889817865244,0.381663363902871,6.655621
56.2086735421208,-0.281304383150344,6.659805
56.2086739834161,-0.281303048150425,6.659825
