Description	
Number of Runs	1000
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
130	900	10	1	02/03/23 03:47:12 PM	
131	900	10	1	02/03/23 03:47:13 PM	
132	900	7	1	02/03/23 03:47:14 PM	
133	900	4	1	02/03/23 03:47:15 PM	
134	900	9	1	02/03/23 03:47:16 PM	
135	900	16	1	02/03/23 03:47:17 PM	
136	900	7	1	02/03/23 03:47:19 PM	
137	900	9	1	02/03/23 03:47:20 PM	
138	900	13	1	02/03/23 03:47:21 PM	
139	900	9	1	02/03/23 03:47:22 PM	
140	900	9	1	02/03/23 03:47:23 PM	
141	900	7	1	02/03/23 03:47:24 PM	
142	900	9	1	02/03/23 03:47:25 PM	
143	900	8	1	02/03/23 03:47:26 PM	
144	900	9	1	02/03/23 03:47:28 PM	
145	900	9	1	02/03/23 03:47:29 PM	
146	900	8	1	02/03/23 03:47:30 PM	
147	900	9	1	02/03/23 03:47:31 PM	
148	900	6	1	02/03/23 03:47:32 PM	
149	900	6	1	02/03/23 03:47:33 PM	
150	900	14	1	02/03/23 03:47:34 PM	
151	900	8	1	02/03/23 03:47:35 PM	
152	900	12	1	02/03/23 03:47:37 PM	
153	900	7	1	02/03/23 03:47:38 PM	
154	900	10	1	02/03/23 03:47:39 PM	
155	900	11	1	02/03/23 03:47:40 PM	
156	900	12	1	02/03/23 03:47:41 PM	
157	900	6	1	02/03/23 03:47:42 PM	
158	900	7	1	02/03/23 03:47:44 PM	
159	900	6	1	02/03/23 03:47:45 PM	
160	900	9	1	02/03/23 03:47:46 PM	
161	900	13	1	02/03/23 03:47:47 PM	
162	900	8	1	02/03/23 03:47:48 PM	
163	900	6	1	02/03/23 03:47:49 PM	
164	900	8	1	02/03/23 03:47:50 PM	
165	900	11	1	02/03/23 03:47:51 PM	
166	900	11	1	02/03/23 03:47:52 PM	
167	900	5	1	02/03/23 03:47:53 PM	
168	900	14	1	02/03/23 03:47:55 PM	
169	900	7	1	02/03/23 03:47:56 PM	
170	900	10	1	02/03/23 03:47:57 PM	
171	900	7	1	02/03/23 03:47:58 PM	
172	900	7	1	02/03/23 03:47:59 PM	
173	900	9	1	02/03/23 03:48:00 PM	
174	900	6	1	02/03/23 03:48:01 PM	
175	900	7	1	02/03/23 03:48:02 PM	
176	900	9	1	02/03/23 03:48:04 PM	
177	900	11	1	02/03/23 03:48:05 PM	
178	900	4	1	02/03/23 03:48:06 PM	
179	900	10	1	02/03/23 03:48:07 PM	
180	900	12	1	02/03/23 03:48:08 PM	
181	900	7	1	02/03/23 03:48:09 PM	
182	900	10	1	02/03/23 03:48:10 PM	
183	900	7	1	02/03/23 03:48:12 PM	
184	900	12	1	02/03/23 03:48:13 PM	
185	900	8	1	02/03/23 03:48:14 PM	
186	900	15	1	02/03/23 03:48:15 PM	
187	900	9	1	02/03/23 03:48:16 PM	
188	900	6	1	02/03/23 03:48:17 PM	
189	900	8	1	02/03/23 03:48:18 PM	
190	900	7	1	02/03/23 03:48:19 PM	
191	900	5	1	02/03/23 03:48:20 PM	
192	900	11	1	02/03/23 03:48:22 PM	
193	900	12	1	02/03/23 03:48:23 PM	
194	900	10	1	02/03/23 03:48:24 PM	
195	900	11	1	02/03/23 03:48:25 PM	
196	900	15	1	02/03/23 03:48:26 PM	
197	900	8	1	02/03/23 03:48:27 PM	
198	900	8	1	02/03/23 03:48:28 PM	
199	900	9	1	02/03/23 03:48:29 PM	
200	900	14	1	02/03/23 03:48:31 PM	
201	900	13	1	02/03/23 03:48:32 PM	
202	900	17	1	02/03/23 03:48:33 PM	
203	900	11	1	02/03/23 03:48:34 PM	
204	900	5	1	02/03/23 03:48:35 PM	
205	900	12	1	02/03/23 03:48:36 PM	
206	900	9	1	02/03/23 03:48:37 PM	
207	900	6	1	02/03/23 03:48:38 PM	
208	900	5	1	02/03/23 03:48:40 PM	
209	900	9	1	02/03/23 03:48:41 PM	
210	900	8	1	02/03/23 03:48:42 PM	
211	900	10	1	02/03/23 03:48:43 PM	
212	900	11	1	02/03/23 03:48:44 PM	
213	900	12	1	02/03/23 03:48:45 PM	
214	900	12	1	02/03/23 03:48:46 PM	
215	900	16	1	02/03/23 03:48:47 PM	
216	900	9	1	02/03/23 03:48:49 PM	
217	900	9	1	02/03/23 03:48:50 PM	
218	900	10	1	02/03/23 03:48:51 PM	
219	900	8	1	02/03/23 03:48:52 PM	
220	900	6	1	02/03/23 03:48:53 PM	
221	900	8	1	02/03/23 03:48:54 PM	
222	900	6	1	02/03/23 03:48:55 PM	
223	900	10	1	02/03/23 03:48:56 PM	
224	900	7	1	02/03/23 03:48:58 PM	
225	900	9	1	02/03/23 03:48:59 PM	
226	900	12	1	02/03/23 03:49:00 PM	
227	900	8	1	02/03/23 03:49:01 PM	
228	900	3	1	02/03/23 03:49:02 PM	
229	900	10	1	02/03/23 03:49:03 PM	
230	900	9	1	02/03/23 03:49:04 PM	
231	900	13	1	02/03/23 03:49:05 PM	
232	900	15	1	02/03/23 03:49:06 PM	
233	900	10	1	02/03/23 03:49:08 PM	
234	900	12	1	02/03/23 03:49:09 PM	
235	900	11	1	02/03/23 03:49:10 PM	
236	900	9	1	02/03/23 03:49:11 PM	
237	900	9	1	02/03/23 03:49:12 PM	
238	900	5	1	02/03/23 03:49:13 PM	
239	900	3	1	02/03/23 03:49:14 PM	
240	900	10	1	02/03/23 03:49:15 PM	
241	900	11	1	02/03/23 03:49:17 PM	
242	900	10	1	02/03/23 03:49:18 PM	
243	900	8	1	02/03/23 03:49:19 PM	
244	900	4	1	02/03/23 03:49:20 PM	
245	900	15	1	02/03/23 03:49:21 PM	
246	900	8	1	02/03/23 03:49:22 PM	
247	900	7	1	02/03/23 03:49:23 PM	
248	900	10	1	02/03/23 03:49:24 PM	
249	900	14	1	02/03/23 03:49:26 PM	
250	900	10	1	02/03/23 03:49:27 PM	
251	900	8	1	02/03/23 03:49:28 PM	
252	900	10	1	02/03/23 03:49:29 PM	
253	900	12	1	02/03/23 03:49:30 PM	
254	900	9	1	02/03/23 03:49:31 PM	
255	900	12	1	02/03/23 03:49:32 PM	
256	900	13	1	02/03/23 03:49:33 PM	
257	900	11	1	02/03/23 03:49:34 PM	
258	900	4	1	02/03/23 03:49:36 PM	
259	900	6	1	02/03/23 03:49:37 PM	
260	900	10	1	02/03/23 03:49:38 PM	
261	900	8	1	02/03/23 03:49:39 PM	
262	900	10	1	02/03/23 03:49:40 PM	
263	900	17	1	02/03/23 03:49:41 PM	
264	900	9	1	02/03/23 03:49:42 PM	
265	900	10	1	02/03/23 03:49:43 PM	
266	900	7	1	02/03/23 03:49:44 PM	
267	900	8	1	02/03/23 03:49:46 PM	
268	900	7	1	02/03/23 03:49:47 PM	
269	900	13	1	02/03/23 03:49:48 PM	
270	900	7	1	02/03/23 03:49:49 PM	
271	900	13	1	02/03/23 03:49:50 PM	
272	900	6	1	02/03/23 03:49:51 PM	
273	900	12	1	02/03/23 03:49:52 PM	
274	900	13	1	02/03/23 03:49:53 PM	
275	900	8	1	02/03/23 03:49:55 PM	
276	900	9	1	02/03/23 03:49:56 PM	
277	900	9	1	02/03/23 03:49:57 PM	
278	900	9	1	02/03/23 03:49:58 PM	
279	900	8	1	02/03/23 03:49:59 PM	
280	900	6	1	02/03/23 03:50:00 PM	
281	900	11	1	02/03/23 03:50:01 PM	
282	900	15	1	02/03/23 03:50:02 PM	
283	900	10	1	02/03/23 03:50:03 PM	
284	900	7	1	02/03/23 03:50:05 PM	
285	900	6	1	02/03/23 03:50:06 PM	
286	900	13	1	02/03/23 03:50:07 PM	
287	900	6	1	02/03/23 03:50:08 PM	
288	900	6	1	02/03/23 03:50:09 PM	
289	900	4	1	02/03/23 03:50:10 PM	
290	900	8	1	02/03/23 03:50:11 PM	
291	900	11	1	02/03/23 03:50:12 PM	
292	900	7	1	02/03/23 03:50:13 PM	
293	900	14	1	02/03/23 03:50:15 PM	
294	900	7	1	02/03/23 03:50:16 PM	
295	900	11	1	02/03/23 03:50:17 PM	
296	900	13	1	02/03/23 03:50:18 PM	
297	900	8	1	02/03/23 03:50:19 PM	
298	900	6	1	02/03/23 03:50:20 PM	
299	900	12	1	02/03/23 03:50:21 PM	
300	900	7	1	02/03/23 03:50:22 PM	
301	900	6	1	02/03/23 03:50:24 PM	
302	900	17	1	02/03/23 03:50:25 PM	
303	900	9	1	02/03/23 03:50:26 PM	
304	900	9	1	02/03/23 03:50:27 PM	
305	900	16	1	02/03/23 03:50:28 PM	
306	900	14	1	02/03/23 03:50:29 PM	
307	900	11	1	02/03/23 03:50:30 PM	
308	900	15	1	02/03/23 03:50:31 PM	
309	900	11	1	02/03/23 03:50:33 PM	
310	900	19	1	02/03/23 03:50:34 PM	
311	900	6	1	02/03/23 03:50:35 PM	
312	900	8	1	02/03/23 03:50:36 PM	
313	900	7	1	02/03/23 03:50:37 PM	
314	900	14	1	02/03/23 03:50:38 PM	
315	900	12	1	02/03/23 03:50:39 PM	
316	900	11	1	02/03/23 03:50:40 PM	
317	900	13	1	02/03/23 03:50:42 PM	
318	900	9	1	02/03/23 03:50:43 PM	
319	900	11	1	02/03/23 03:50:44 PM	
320	900	7	1	02/03/23 03:50:45 PM	
321	900	10	1	02/03/23 03:50:46 PM	
322	900	8	1	02/03/23 03:50:47 PM	
323	900	11	1	02/03/23 03:50:48 PM	
324	900	9	1	02/03/23 03:50:49 PM	
325	900	15	1	02/03/23 03:50:51 PM	
326	900	11	1	02/03/23 03:50:52 PM	
327	900	17	1	02/03/23 03:50:53 PM	
328	900	8	1	02/03/23 03:50:54 PM	
329	900	9	1	02/03/23 03:50:55 PM	
330	900	7	1	02/03/23 03:50:56 PM	
331	900	11	1	02/03/23 03:50:57 PM	
332	900	10	1	02/03/23 03:50:58 PM	
333	900	9	1	02/03/23 03:50:59 PM	
334	900	8	1	02/03/23 03:51:01 PM	
335	900	10	1	02/03/23 03:51:02 PM	
336	900	14	1	02/03/23 03:51:03 PM	
337	900	7	1	02/03/23 03:51:04 PM	
338	900	9	1	02/03/23 03:51:05 PM	
339	900	13	1	02/03/23 03:51:06 PM	
340	900	7	1	02/03/23 03:51:07 PM	
341	900	14	1	02/03/23 03:51:09 PM	
342	900	11	1	02/03/23 03:51:10 PM	
