Description	
Number of Runs	1000
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
130	900	0	1	02/03/23 03:23:28 PM	
131	900	1	1	02/03/23 03:23:29 PM	
132	900	2	1	02/03/23 03:23:30 PM	
133	900	0	1	02/03/23 03:23:31 PM	
134	900	0	1	02/03/23 03:23:32 PM	
135	900	1	1	02/03/23 03:23:33 PM	
136	900	0	1	02/03/23 03:23:35 PM	
137	900	0	1	02/03/23 03:23:36 PM	
138	900	0	1	02/03/23 03:23:37 PM	
139	900	1	1	02/03/23 03:23:38 PM	
140	900	0	1	02/03/23 03:23:39 PM	
141	900	2	1	02/03/23 03:23:40 PM	
142	900	2	1	02/03/23 03:23:41 PM	
143	900	0	1	02/03/23 03:23:42 PM	
144	900	0	1	02/03/23 03:23:44 PM	
145	900	1	1	02/03/23 03:23:45 PM	
146	900	1	1	02/03/23 03:23:46 PM	
147	900	4	1	02/03/23 03:23:47 PM	
148	900	1	1	02/03/23 03:23:48 PM	
149	900	0	1	02/03/23 03:23:49 PM	
150	900	0	1	02/03/23 03:23:50 PM	
151	900	2	1	02/03/23 03:23:51 PM	
152	900	1	1	02/03/23 03:23:53 PM	
153	900	0	1	02/03/23 03:23:54 PM	
154	900	1	1	02/03/23 03:23:55 PM	
155	900	1	1	02/03/23 03:23:56 PM	
156	900	1	1	02/03/23 03:23:57 PM	
157	900	0	1	02/03/23 03:23:58 PM	
158	900	2	1	02/03/23 03:23:59 PM	
159	900	1	1	02/03/23 03:24:01 PM	
160	900	0	1	02/03/23 03:24:02 PM	
161	900	0	1	02/03/23 03:24:03 PM	
162	900	1	1	02/03/23 03:24:04 PM	
163	900	1	1	02/03/23 03:24:05 PM	
164	900	1	1	02/03/23 03:24:06 PM	
165	900	1	1	02/03/23 03:24:07 PM	
166	900	0	1	02/03/23 03:24:08 PM	
167	900	0	1	02/03/23 03:24:09 PM	
168	900	0	1	02/03/23 03:24:10 PM	
169	900	1	1	02/03/23 03:24:12 PM	
170	900	1	1	02/03/23 03:24:13 PM	
171	900	2	1	02/03/23 03:24:14 PM	
172	900	2	1	02/03/23 03:24:15 PM	
173	900	1	1	02/03/23 03:24:16 PM	
174	900	1	1	02/03/23 03:24:17 PM	
175	900	1	1	02/03/23 03:24:18 PM	
176	900	1	1	02/03/23 03:24:19 PM	
177	900	0	1	02/03/23 03:24:21 PM	
178	900	0	1	02/03/23 03:24:22 PM	
179	900	0	1	02/03/23 03:24:23 PM	
180	900	1	1	02/03/23 03:24:24 PM	
181	900	0	1	02/03/23 03:24:25 PM	
182	900	1	1	02/03/23 03:24:26 PM	
183	900	1	1	02/03/23 03:24:27 PM	
184	900	1	1	02/03/23 03:24:28 PM	
185	900	1	1	02/03/23 03:24:30 PM	
186	900	0	1	02/03/23 03:24:31 PM	
187	900	0	1	02/03/23 03:24:32 PM	
188	900	1	1	02/03/23 03:24:33 PM	
189	900	0	1	02/03/23 03:24:34 PM	
190	900	0	1	02/03/23 03:24:35 PM	
191	900	0	1	02/03/23 03:24:36 PM	
192	900	1	1	02/03/23 03:24:38 PM	
193	900	0	1	02/03/23 03:24:39 PM	
194	900	0	1	02/03/23 03:24:40 PM	
195	900	0	1	02/03/23 03:24:41 PM	
196	900	1	1	02/03/23 03:24:42 PM	
197	900	0	1	02/03/23 03:24:43 PM	
198	900	1	1	02/03/23 03:24:44 PM	
199	900	0	1	02/03/23 03:24:46 PM	
200	900	1	1	02/03/23 03:24:47 PM	
201	900	2	1	02/03/23 03:24:48 PM	
202	900	1	1	02/03/23 03:24:49 PM	
203	900	2	1	02/03/23 03:24:50 PM	
204	900	0	1	02/03/23 03:24:51 PM	
205	900	3	1	02/03/23 03:24:52 PM	
206	900	0	1	02/03/23 03:24:53 PM	
207	900	2	1	02/03/23 03:24:54 PM	
208	900	4	1	02/03/23 03:24:55 PM	
209	900	1	1	02/03/23 03:24:57 PM	
210	900	1	1	02/03/23 03:24:58 PM	
211	900	0	1	02/03/23 03:24:59 PM	
212	900	0	1	02/03/23 03:25:00 PM	
213	900	3	1	02/03/23 03:25:01 PM	
214	900	0	1	02/03/23 03:25:02 PM	
215	900	1	1	02/03/23 03:25:03 PM	
216	900	2	1	02/03/23 03:25:04 PM	
217	900	2	1	02/03/23 03:25:06 PM	
218	900	1	1	02/03/23 03:25:07 PM	
219	900	1	1	02/03/23 03:25:08 PM	
220	900	2	1	02/03/23 03:25:09 PM	
221	900	2	1	02/03/23 03:25:10 PM	
222	900	2	1	02/03/23 03:25:11 PM	
223	900	1	1	02/03/23 03:25:12 PM	
224	900	1	1	02/03/23 03:25:13 PM	
225	900	3	1	02/03/23 03:25:14 PM	
226	900	0	1	02/03/23 03:25:16 PM	
227	900	1	1	02/03/23 03:25:17 PM	
228	900	2	1	02/03/23 03:25:18 PM	
229	900	0	1	02/03/23 03:25:19 PM	
230	900	0	1	02/03/23 03:25:20 PM	
231	900	0	1	02/03/23 03:25:21 PM	
232	900	1	1	02/03/23 03:25:22 PM	
233	900	0	1	02/03/23 03:25:24 PM	
234	900	1	1	02/03/23 03:25:25 PM	
235	900	0	1	02/03/23 03:25:26 PM	
236	900	0	1	02/03/23 03:25:27 PM	
237	900	2	1	02/03/23 03:25:28 PM	
238	900	0	1	02/03/23 03:25:29 PM	
239	900	0	1	02/03/23 03:25:30 PM	
240	900	0	1	02/03/23 03:25:31 PM	
241	900	1	1	02/03/23 03:25:33 PM	
242	900	2	1	02/03/23 03:25:34 PM	
243	900	1	1	02/03/23 03:25:35 PM	
244	900	2	1	02/03/23 03:25:36 PM	
245	900	0	1	02/03/23 03:25:37 PM	
246	900	2	1	02/03/23 03:25:38 PM	
247	900	2	1	02/03/23 03:25:39 PM	
248	900	0	1	02/03/23 03:25:40 PM	
249	900	4	1	02/03/23 03:25:41 PM	
250	900	0	1	02/03/23 03:25:42 PM	
251	900	0	1	02/03/23 03:25:44 PM	
252	900	0	1	02/03/23 03:25:45 PM	
253	900	0	1	02/03/23 03:25:46 PM	
254	900	2	1	02/03/23 03:25:47 PM	
255	900	3	1	02/03/23 03:25:48 PM	
256	900	2	1	02/03/23 03:25:49 PM	
257	900	2	1	02/03/23 03:25:50 PM	
258	900	1	1	02/03/23 03:25:52 PM	
259	900	0	1	02/03/23 03:25:53 PM	
260	900	2	1	02/03/23 03:25:54 PM	
261	900	2	1	02/03/23 03:25:55 PM	
262	900	1	1	02/03/23 03:25:56 PM	
263	900	1	1	02/03/23 03:25:57 PM	
264	900	2	1	02/03/23 03:25:58 PM	
265	900	1	1	02/03/23 03:25:59 PM	
266	900	0	1	02/03/23 03:26:01 PM	
267	900	1	1	02/03/23 03:26:02 PM	
268	900	2	1	02/03/23 03:26:03 PM	
269	900	0	1	02/03/23 03:26:04 PM	
270	900	1	1	02/03/23 03:26:05 PM	
271	900	0	1	02/03/23 03:26:06 PM	
272	900	1	1	02/03/23 03:26:07 PM	
273	900	4	1	02/03/23 03:26:08 PM	
274	900	0	1	02/03/23 03:26:10 PM	
275	900	1	1	02/03/23 03:26:11 PM	
276	900	0	1	02/03/23 03:26:12 PM	
277	900	0	1	02/03/23 03:26:13 PM	
278	900	1	1	02/03/23 03:26:14 PM	
279	900	1	1	02/03/23 03:26:15 PM	
280	900	0	1	02/03/23 03:26:16 PM	
281	900	1	1	02/03/23 03:26:17 PM	
282	900	1	1	02/03/23 03:26:19 PM	
283	900	1	1	02/03/23 03:26:20 PM	
284	900	0	1	02/03/23 03:26:21 PM	
285	900	1	1	02/03/23 03:26:22 PM	
286	900	0	1	02/03/23 03:26:23 PM	
287	900	1	1	02/03/23 03:26:24 PM	
288	900	1	1	02/03/23 03:26:25 PM	
289	900	1	1	02/03/23 03:26:27 PM	
290	900	2	1	02/03/23 03:26:28 PM	
291	900	1	1	02/03/23 03:26:29 PM	
292	900	2	1	02/03/23 03:26:30 PM	
293	900	2	1	02/03/23 03:26:31 PM	
294	900	2	1	02/03/23 03:26:32 PM	
295	900	2	1	02/03/23 03:26:34 PM	
296	900	1	1	02/03/23 03:26:35 PM	
297	900	1	1	02/03/23 03:26:36 PM	
298	900	1	1	02/03/23 03:26:37 PM	
299	900	0	1	02/03/23 03:26:38 PM	
300	900	2	1	02/03/23 03:26:39 PM	
301	900	1	1	02/03/23 03:26:40 PM	
302	900	0	1	02/03/23 03:26:41 PM	
303	900	0	1	02/03/23 03:26:43 PM	
304	900	0	1	02/03/23 03:26:44 PM	
305	900	1	1	02/03/23 03:26:45 PM	
306	900	0	1	02/03/23 03:26:46 PM	
307	900	0	1	02/03/23 03:26:47 PM	
308	900	5	1	02/03/23 03:26:48 PM	
309	900	2	1	02/03/23 03:26:49 PM	
310	900	2	1	02/03/23 03:26:50 PM	
311	900	3	1	02/03/23 03:26:51 PM	
312	900	1	1	02/03/23 03:26:53 PM	
313	900	0	1	02/03/23 03:26:54 PM	
314	900	4	1	02/03/23 03:26:55 PM	
315	900	1	1	02/03/23 03:26:56 PM	
316	900	1	1	02/03/23 03:26:57 PM	
317	900	1	1	02/03/23 03:26:58 PM	
318	900	1	1	02/03/23 03:26:59 PM	
319	900	1	1	02/03/23 03:27:01 PM	
320	900	2	1	02/03/23 03:27:02 PM	
321	900	2	1	02/03/23 03:27:03 PM	
322	900	2	1	02/03/23 03:27:04 PM	
323	900	1	1	02/03/23 03:27:05 PM	
324	900	0	1	02/03/23 03:27:06 PM	
325	900	1	1	02/03/23 03:27:07 PM	
326	900	3	1	02/03/23 03:27:09 PM	
327	900	3	1	02/03/23 03:27:10 PM	
328	900	0	1	02/03/23 03:27:11 PM	
329	900	0	1	02/03/23 03:27:12 PM	
330	900	4	1	02/03/23 03:27:13 PM	
331	900	0	1	02/03/23 03:27:14 PM	
332	900	1	1	02/03/23 03:27:15 PM	
333	900	2	1	02/03/23 03:27:16 PM	
334	900	1	1	02/03/23 03:27:18 PM	
335	900	1	1	02/03/23 03:27:19 PM	
336	900	2	1	02/03/23 03:27:20 PM	
337	900	4	1	02/03/23 03:27:21 PM	
338	900	0	1	02/03/23 03:27:22 PM	
339	900	1	1	02/03/23 03:27:23 PM	
340	900	1	1	02/03/23 03:27:24 PM	
341	900	0	1	02/03/23 03:27:25 PM	
342	900	3	1	02/03/23 03:27:26 PM	
343	900	0	1	02/03/23 03:27:28 PM	
344	900	0	1	02/03/23 03:27:29 PM	
345	900	0	1	02/03/23 03:27:30 PM	
346	900	1	1	02/03/23 03:27:31 PM	
347	900	1	1	02/03/23 03:27:32 PM	
348	900	0	1	02/03/23 03:27:33 PM	
349	900	0	1	02/03/23 03:27:34 PM	
350	900	0	1	02/03/23 03:27:36 PM	
351	900	3	1	02/03/23 03:27:37 PM	
352	900	0	1	02/03/23 03:27:38 PM	
353	900	1	1	02/03/23 03:27:39 PM	
354	900	1	1	02/03/23 03:27:40 PM	
355	900	1	1	02/03/23 03:27:41 PM	
356	900	0	1	02/03/23 03:27:42 PM	
357	900	2	1	02/03/23 03:27:43 PM	
358	900	1	1	02/03/23 03:27:44 PM	
359	900	0	1	02/03/23 03:27:45 PM	
