Description	
Number of Runs	1000
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
130	900	0	1	02/03/23 02:56:57 PM	
131	900	0	1	02/03/23 02:56:58 PM	
132	900	0	1	02/03/23 02:56:59 PM	
133	900	1	1	02/03/23 02:57:01 PM	
134	900	0	1	02/03/23 02:57:02 PM	
135	900	0	1	02/03/23 02:57:03 PM	
136	900	0	1	02/03/23 02:57:04 PM	
137	900	0	1	02/03/23 02:57:05 PM	
138	900	0	1	02/03/23 02:57:06 PM	
139	900	1	1	02/03/23 02:57:07 PM	
140	900	1	1	02/03/23 02:57:08 PM	
141	900	1	1	02/03/23 02:57:09 PM	
142	900	0	1	02/03/23 02:57:10 PM	
143	900	0	1	02/03/23 02:57:12 PM	
144	900	0	1	02/03/23 02:57:13 PM	
145	900	0	1	02/03/23 02:57:14 PM	
146	900	0	1	02/03/23 02:57:15 PM	
147	900	1	1	02/03/23 02:57:16 PM	
148	900	1	1	02/03/23 02:57:17 PM	
149	900	0	1	02/03/23 02:57:18 PM	
150	900	0	1	02/03/23 02:57:19 PM	
151	900	2	1	02/03/23 02:57:21 PM	
152	900	0	1	02/03/23 02:57:22 PM	
153	900	1	1	02/03/23 02:57:23 PM	
154	900	0	1	02/03/23 02:57:24 PM	
155	900	0	1	02/03/23 02:57:25 PM	
156	900	0	1	02/03/23 02:57:26 PM	
157	900	0	1	02/03/23 02:57:28 PM	
158	900	0	1	02/03/23 02:57:29 PM	
159	900	1	1	02/03/23 02:57:30 PM	
160	900	1	1	02/03/23 02:57:31 PM	
161	900	0	1	02/03/23 02:57:32 PM	
162	900	0	1	02/03/23 02:57:33 PM	
163	900	0	1	02/03/23 02:57:34 PM	
164	900	0	1	02/03/23 02:57:35 PM	
165	900	1	1	02/03/23 02:57:36 PM	
166	900	2	1	02/03/23 02:57:38 PM	
167	900	0	1	02/03/23 02:57:39 PM	
168	900	0	1	02/03/23 02:57:40 PM	
169	900	0	1	02/03/23 02:57:41 PM	
170	900	0	1	02/03/23 02:57:42 PM	
171	900	0	1	02/03/23 02:57:43 PM	
172	900	0	1	02/03/23 02:57:44 PM	
173	900	0	1	02/03/23 02:57:45 PM	
174	900	0	1	02/03/23 02:57:46 PM	
175	900	0	1	02/03/23 02:57:48 PM	
176	900	1	1	02/03/23 02:57:49 PM	
177	900	1	1	02/03/23 02:57:50 PM	
178	900	2	1	02/03/23 02:57:51 PM	
179	900	1	1	02/03/23 02:57:52 PM	
180	900	0	1	02/03/23 02:57:53 PM	
181	900	1	1	02/03/23 02:57:54 PM	
182	900	1	1	02/03/23 02:57:56 PM	
183	900	0	1	02/03/23 02:57:57 PM	
184	900	1	1	02/03/23 02:57:58 PM	
185	900	1	1	02/03/23 02:57:59 PM	
186	900	0	1	02/03/23 02:58:00 PM	
187	900	0	1	02/03/23 02:58:01 PM	
188	900	1	1	02/03/23 02:58:02 PM	
189	900	0	1	02/03/23 02:58:03 PM	
190	900	2	1	02/03/23 02:58:04 PM	
191	900	0	1	02/03/23 02:58:05 PM	
192	900	2	1	02/03/23 02:58:07 PM	
193	900	0	1	02/03/23 02:58:08 PM	
194	900	0	1	02/03/23 02:58:09 PM	
195	900	0	1	02/03/23 02:58:10 PM	
196	900	0	1	02/03/23 02:58:11 PM	
197	900	2	1	02/03/23 02:58:12 PM	
198	900	0	1	02/03/23 02:58:13 PM	
199	900	0	1	02/03/23 02:58:14 PM	
200	900	1	1	02/03/23 02:58:16 PM	
201	900	0	1	02/03/23 02:58:17 PM	
202	900	1	1	02/03/23 02:58:18 PM	
203	900	0	1	02/03/23 02:58:19 PM	
204	900	0	1	02/03/23 02:58:20 PM	
205	900	0	1	02/03/23 02:58:21 PM	
206	900	0	1	02/03/23 02:58:22 PM	
207	900	0	1	02/03/23 02:58:23 PM	
208	900	0	1	02/03/23 02:58:24 PM	
209	900	0	1	02/03/23 02:58:26 PM	
210	900	0	1	02/03/23 02:58:27 PM	
211	900	1	1	02/03/23 02:58:28 PM	
212	900	0	1	02/03/23 02:58:29 PM	
213	900	1	1	02/03/23 02:58:30 PM	
214	900	0	1	02/03/23 02:58:31 PM	
215	900	0	1	02/03/23 02:58:32 PM	
216	900	0	1	02/03/23 02:58:33 PM	
217	900	0	1	02/03/23 02:58:34 PM	
218	900	1	1	02/03/23 02:58:36 PM	
219	900	0	1	02/03/23 02:58:37 PM	
220	900	0	1	02/03/23 02:58:38 PM	
221	900	1	1	02/03/23 02:58:39 PM	
222	900	0	1	02/03/23 02:58:40 PM	
223	900	1	1	02/03/23 02:58:41 PM	
224	900	1	1	02/03/23 02:58:42 PM	
225	900	0	1	02/03/23 02:58:43 PM	
226	900	0	1	02/03/23 02:58:44 PM	
227	900	0	1	02/03/23 02:58:46 PM	
228	900	0	1	02/03/23 02:58:47 PM	
