#Table1
modelMag_u,modelMag_g,modelMag_r
20.86846,18.46437,17.47363
21.49118,18.83252,17.37109
19.76227,18.24632,17.65852
20.94801,18.34338,16.98866
20.48981,18.32952,17.46591
20.68019,18.49267,17.51274
19.32359,18.17886,17.78847
20.66005,18.34534,17.39164
20.48289,18.45327,17.64499
19.93143,18.0944,17.41174
21.50361,18.78202,17.41844
20.0987,18.78569,18.27191
19.02089,18.09085,17.7397
20.8576,18.59119,17.53495
20.0076,18.5768,18.08538
20.92291,18.67186,17.64111
20.89812,18.95058,18.05004
19.78208,18.78429,18.41705
19.96359,18.23465,17.53361
19.31988,18.47058,18.22882
21.14093,18.54484,17.23017
19.23302,18.06538,17.68625
20.63031,18.41259,17.43932
21.25868,18.94969,17.92967
21.01404,18.51006,17.25197
21.01375,18.30936,16.94665
19.32916,18.33253,17.97909
21.07771,18.80445,17.76142
21.70823,18.74955,17.36094
19.60203,18.65407,18.36159
19.72101,18.6916,18.37931
19.66083,18.5285,18.14083
20.56012,18.35154,17.38455
19.97027,18.40513,17.80516
18.44708,18.21992,17.95013
20.89782,18.62834,17.52959
21.04506,18.62422,17.44033
20.26414,18.4276,17.67649
18.98737,18.04468,17.78783
19.71017,18.62687,18.25624
19.78533,18.72243,18.30593
20.58224,18.07486,16.6842
19.70636,18.15826,17.55779
20.9316,18.40669,17.00316
20.81795,18.05956,16.61783
20.0107,18.13192,17.33315
19.38145,18.52562,18.1703
19.78193,18.82125,18.49815
20.46423,18.68366,18.07517
21.40277,18.4829,17.13969
19.81071,18.61773,18.55349
21.06486,18.53873,17.43872
19.83128,18.21888,17.55172
21.46865,18.98648,17.68881
19.06271,18.01163,17.63914
20.74762,18.45004,17.41408
21.08987,18.46109,17.05226
31.20612,18.53657,29.43696
18.34977,18.17097,17.92239
20.86001,18.18605,16.76561
21.73991,18.88899,17.45364
20.9395,18.34705,16.97162
21.04996,18.58183,17.14391
20.42147,18.1277,17.13237
19.68321,18.23625,17.64428
21.64759,18.7967,17.62955
19.92204,18.27214,17.58422
21.67937,18.84391,17.44352
20.62401,18.25681,17.21187
20.66462,18.21465,16.77783
19.66177,18.66622,18.21247
20.80578,18.12082,16.68485
19.90893,18.6951,18.21424
20.20309,18.96031,18.49267
21.21251,18.82647,17.38834
21.55049,18.84197,17.39304
19.87187,18.83406,18.45953
20.40528,18.05825,17.10012
19.86308,18.17276,17.54142
21.43661,18.6403,17.06613
19.34152,18.28535,17.83626
21.31247,18.38921,16.97391
21.50982,18.76892,17.34981
20.26916,18.14415,17.29326
20.87957,18.89462,18.08121
19.64573,18.70064,18.33959
21.04527,18.46082,16.98497
21.15602,18.52092,17.12281
20.80464,18.10995,16.6969
21.18978,18.82968,17.40643
20.63248,18.5599,17.71058
20.75253,18.86671,18.01517
20.61699,18.30667,17.29216
19.22485,18.11605,17.79062
19.88494,18.35326,17.64954
19.71075,18.01719,17.36311
20.30475,18.13391,17.18115
20.17559,18.32397,17.57608
19.74449,18.36628,17.96073
21.22325,18.89355,17.76171
19.23395,18.06899,17.66632
19.50123,18.20505,17.74609
18.82062,18.4993,18.3789
19.39482,18.47455,18.1587
19.30516,18.00736,17.46156
20.4764,18.03248,16.59277
21.39861,18.85298,17.44258
19.76333,18.78615,18.43453
20.96037,18.10748,16.6325
19.76222,18.04786,17.37547
21.26128,18.62469,17.19184
19.63528,18.39944,17.844
20.53154,18.05487,16.80728
20.29934,18.48442,17.73223
20.14397,18.49422,17.81019
21.6601,18.85941,17.35476
21.2319,18.78829,17.63082
20.89201,18.51581,17.41911
19.276,18.34,17.99463
21.15641,18.90414,17.96386
21.35066,18.84472,17.30269
20.29674,18.96281,18.34109
19.09768,18.22126,17.91919
21.30463,18.82595,17.47544
19.47387,18.43719,18.11801
20.6813,18.32912,16.93301
19.97953,18.116,17.39325
20.75847,18.81529,18.05956
19.49693,18.58723,18.29325
20.81705,18.57544,17.62887
21.25621,18.56621,17.18557
21.20529,18.81975,17.57384
21.30873,18.80167,17.45509
19.33937,18.4374,18.12483
18.78732,18.66459,18.59809
18.87384,18.68683,18.46198
19.70043,18.69975,18.30015
19.51975,18.52097,18.22192
19.85491,18.64385,18.27605
20.42959,18.51821,17.81936
20.49217,18.09777,16.61032
20.77317,18.21889,16.9459
19.72351,18.40071,17.86257
20.95102,18.55728,17.06802
19.9024,18.76983,18.25745
20.95269,18.30548,16.88849
19.30402,18.2277,17.82037
21.29424,18.86246,17.85246
21.07809,18.36974,16.90815
19.61234,18.3712,17.96642
20.38786,18.03634,17.01886
19.35267,18.35559,17.99281
19.29365,18.23469,17.762
21.15347,18.70819,17.35876
19.39003,18.12195,17.62879
21.12788,18.67746,17.28383
20.79473,18.88575,18.11532
19.45555,18.11514,17.60091
20.96243,18.60016,17.70724
20.42195,18.61994,17.882
19.49563,18.25835,17.74484
20.68925,18.8143,18.04466
21.51971,18.57876,17.01887
20.68269,18.31693,16.92392
19.88768,18.65453,18.11995
20.51397,18.22583,17.26364
21.07985,18.55439,17.41016
20.80993,18.99172,18.23582
20.54047,18.50563,17.64628
20.06336,18.03051,17.45695
19.75118,18.69388,18.27194
21.15774,18.63009,17.44134
20.07505,18.3427,17.66743
20.71414,18.59431,17.71189
20.77873,18.53936,17.52759
21.20061,18.33184,16.8657
20.17329,18.27995,17.56009
21.13114,18.51792,17.06035
20.25252,18.71021,18.11077
20.33225,18.655,18.01991
20.19333,18.85604,18.32194
20.33664,18.60351,17.89451
21.46364,18.91758,17.57164
21.09504,18.32114,16.88505
19.66627,18.20507,17.66324
18.86137,18.67655,18.42894
21.31475,18.83045,17.467
19.19072,18.23418,17.97095
18.97038,18.07773,17.71573
20.61066,18.4011,17.38561
21.40755,18.94695,17.57574
21.42446,18.95214,17.52551
20.83893,18.67868,17.79031
20.81758,18.79915,18.02739
21.01048,18.5477,17.38235
21.30285,18.7153,17.3127
19.09729,18.07866,17.70527
21.00823,18.68455,17.5872
21.06349,18.3855,16.94804
19.40903,18.09449,17.5957
20.56242,18.37514,17.48279
20.17056,18.18035,17.28487
21.56297,18.87556,17.57401
24.63465,18.76787,24.80203
20.02133,18.18538,17.40941
19.65173,18.41533,17.91424
20.95037,18.22923,16.84563
19.48028,18.19732,17.65681
20.48308,18.94307,18.27749
20.06704,18.34773,17.64148
21.40535,18.90168,17.55402
19.8927,18.40626,17.93079
21.47461,18.89575,17.45721
19.63528,18.46299,18.01823
19.27155,18.36027,18.00214
20.39639,18.98469,18.38403
20.6676,18.19551,16.73233
19.15944,18.05669,17.56898
20.90273,18.79282,17.44028
20.44071,18.50382,17.81131
20.62637,18.08725,17.00403
20.69723,18.14093,16.71272
19.84374,18.46384,17.87815
21.00634,18.99778,17.90279
21.18353,18.69474,17.32004
20.69945,18.57623,17.66116
20.69803,18.65359,17.81532
20.97978,18.4415,17.08659
21.65265,18.95582,17.47788
20.32306,18.34208,17.49291
19.25474,18.08006,17.64717
21.05723,18.50261,17.21534
20.2825,18.2356,17.43474
20.85376,18.71128,17.7354
19.48839,18.01508,17.40173
20.05086,18.03061,17.2339
21.82309,18.76883,17.42556
19.03861,18.0857,17.74129
21.5716,18.89215,17.43829
21.21077,18.55807,17.42379
21.45839,18.72311,17.55332
19.86068,18.9317,18.58578
21.23763,18.68354,17.2778
19.03104,18.13528,17.85324
21.64905,18.87379,17.4301
20.27173,18.36716,17.66381
20.74366,18.82956,18.04239
19.50931,18.07187,17.42885
21.29783,18.89479,17.51715
19.85441,18.0264,17.3044
19.20467,18.27904,17.96396
20.03856,18.43624,17.7847
21.20604,18.91328,17.72005
21.07448,18.85619,17.8897
20.77719,18.7269,17.82995
20.25659,18.39248,17.64726
19.78445,18.88045,18.53773
19.3678,18.04361,17.53774
19.73731,18.14867,17.55204
19.28402,18.36688,18.06339
19.28566,18.15742,17.60402
20.67145,18.63574,17.81841
21.63727,18.88329,17.79247
20.76247,18.57363,17.66552
21.15442,18.67535,17.23043
19.71305,18.02346,17.31295
20.14383,18.31341,17.4715
21.24828,18.69802,17.64254
20.01799,18.98137,18.5116
20.44983,18.79846,18.16432
20.65535,18.67062,17.89337
18.95151,18.74051,18.6475
19.72214,18.66619,18.27735
22.68375,18.76293,17.51144
19.62176,18.39199,17.83822
19.79678,18.87113,18.47434
21.246,18.88125,17.27597
19.54152,18.26838,17.89863
21.20551,18.69305,17.64406
20.05733,18.24082,17.4902
19.36615,18.48723,18.18793
21.25861,18.26262,16.82835
20.02419,18.61316,18.02424
20.62159,18.05879,16.59822
20.55404,18.94328,18.22079
19.71256,18.58673,18.07924
19.43577,18.42061,18.02342
19.80232,18.37595,17.7816
20.25628,18.43168,17.7008
19.34871,18.50068,18.28247
19.8788,18.57403,18.07618
19.67384,18.39975,17.88567
20.11,18.10927,17.16377
20.74216,18.33614,17.09563
21.27561,18.58018,17.16431
21.38367,18.81954,17.87898
19.37188,18.5354,18.29267
20.75608,18.17346,16.71916
19.56713,18.37284,17.99339
20.6018,18.95014,18.24387
21.57081,18.86149,17.57327
20.78211,18.67083,17.87293
20.79786,18.85568,18.07922
19.37072,18.04119,17.49729
21.19722,18.75488,17.6221
20.691,18.73458,17.96988
20.85922,18.42279,17.36124
21.02821,18.66314,17.64985
21.18879,18.79636,17.65372
20.12188,18.33997,17.6713
19.971,18.40176,17.751
19.19736,18.26571,18.00149
20.06437,18.45704,17.74196
19.7391,18.66243,18.25936
20.82577,18.94626,18.17379
19.84303,18.46914,17.83919
20.17498,18.89037,18.42446
21.37099,18.72162,17.43576
21.11482,18.79494,17.86693
21.57059,18.77017,17.26076
20.80726,18.61204,17.70461
19.96518,18.68498,18.8975
19.56483,18.59005,18.20747
20.89329,18.23833,16.83528
20.82225,18.28062,16.89296
21.31423,18.54592,17.06233
19.88999,18.57947,17.9829
20.3926,18.02872,17.09208
20.0558,18.32574,17.66576
20.13334,18.90482,19.01642
20.20493,18.23249,17.47192
20.80207,18.22163,16.82029
21.36783,18.65676,17.18304
19.03667,18.19041,17.89638
19.45447,18.51693,18.19057
20.71011,18.26375,17.06846
19.35692,18.01993,17.49853
20.31278,18.55734,17.80402
21.60563,18.89894,17.49402
21.1227,18.67062,17.33145
21.10841,18.46517,17.3166
20.19881,18.79162,18.22087
19.32949,18.3299,17.98476
20.7249,18.1775,16.76479
21.15595,18.78318,18.02706
20.47046,18.5958,17.79594
19.31637,18.06657,17.60493
20.54341,18.97915,18.33016
19.95282,18.25533,17.61158
20.61473,18.1461,16.82107
20.04994,18.52465,17.99859
20.21621,18.9215,18.41451
20.58584,18.66444,17.83649
19.82461,18.70072,18.14117
21.16822,18.47463,17.24932
19.97028,18.35138,17.71835
20.53221,18.79427,18.18497
19.59526,18.44909,18.04246
18.87137,18.8937,19.32774
20.90569,18.32349,16.93686
21.38094,18.65466,17.14429
20.97484,18.4533,17.2629
19.75228,18.1539,17.5227
21.23325,18.69251,17.24294
19.99218,18.6922,18.13165
21.07385,18.56594,17.57055
19.5028,18.55946,18.23574
21.14661,18.54724,17.39296
20.94622,18.635,17.75609
19.93853,18.99047,18.64826
20.83923,18.21657,16.82393
19.97857,18.66784,18.11931
19.94351,18.34532,17.69032
20.68272,18.13181,16.84986
19.5394,18.45546,18.04202
20.27202,18.25753,17.35263
20.17025,18.92393,18.41703
20.02591,18.21875,17.46504
19.36542,18.15384,17.7042
19.41228,18.29198,17.86021
20.97879,18.49331,17.12029
20.81787,18.31637,16.90646
20.9985,18.34698,17.13857
21.13658,18.50602,17.14355
21.0196,18.65147,17.19442
19.89937,18.94654,18.82502
21.28108,18.86857,17.51637
18.57135,18.37766,18.55594
20.69585,18.00468,16.54078
19.65474,18.69128,18.34465
21.15911,18.7968,17.36757
20.82418,18.36254,16.93536
19.40111,18.57776,18.21856
19.79651,18.82848,18.44532
21.03382,18.34878,16.92414
20.55566,18.01964,16.81803
20.29964,18.68846,17.99396
21.26292,18.85484,17.60076
20.43922,18.09394,17.13859
21.16195,18.57061,17.36714
19.39134,18.43831,18.06541
20.08694,18.63588,18.01703
20.24219,18.90139,18.43227
19.29268,18.46237,18.21512
19.99734,18.69008,18.69336
21.05563,18.60178,17.33042
21.32804,18.97424,17.55459
20.82684,18.30766,16.88246
19.90207,18.89963,18.47839
19.48329,18.45323,18.17243
20.2647,18.53009,17.79421
19.61167,18.55458,18.25682
21.13504,18.80142,17.76593
21.07125,18.89336,17.80866
21.32509,18.55612,17.15569
19.90058,18.40545,17.80347
20.24557,18.28008,17.5205
19.7853,18.12893,17.49616
20.61537,18.55408,17.68027
19.55364,18.49501,18.09707
19.85903,18.86402,18.57559
19.88148,18.46491,18.09706
20.44923,18.45018,17.55096
19.45564,18.38664,17.98256
21.47631,18.90119,17.12447
21.52445,18.99312,17.60786
19.77498,18.46017,17.96591
20.80446,18.87816,18.10235
19.46474,18.50482,18.26382
21.16723,18.51475,17.20691
19.68415,18.27063,17.23286
21.09607,18.75531,18.22524
20.83777,18.29095,17.02431
18.69884,18.62679,18.65334
20.08878,18.81177,18.33408
21.14515,18.94571,18.05116
19.95329,18.04236,17.25586
21.32978,18.83705,17.83622
20.8991,18.931,18.37691
20.19723,18.63601,18.03892
19.25595,18.20053,17.81171
20.80132,18.23388,16.92639
20.05445,18.06024,17.21399
20.12717,18.03473,17.16945
19.69477,18.66599,18.29157
21.52842,18.62767,17.20347
21.33889,18.95095,17.89119
21.2388,18.85107,17.77013
19.78269,18.26097,17.65309
20.79062,18.84226,17.98965
20.9775,18.48464,17.12303
21.02185,18.2926,17.05499
20.56043,18.53056,17.69617
20.18323,18.36532,17.57372
21.40754,18.90245,17.57537
20.66216,18.82693,18.17138
20.28645,18.09788,17.15891
19.91546,18.7515,18.23011
19.51714,18.17344,17.63092
19.50864,18.62707,18.3285
20.28005,18.99972,18.44002
21.29325,18.74647,17.28637
20.93249,18.39435,16.90936
19.93344,18.90382,18.55163
20.49298,18.79859,18.12186
19.42766,18.41603,18.04884
21.17714,18.72762,17.37919
19.63707,18.48978,18.02265
21.44823,18.8609,17.39247
19.48011,18.0326,17.45084
20.84734,18.24195,16.80228
19.62607,18.72218,18.36635
19.32126,18.03037,17.50084
19.47471,18.39573,17.83223
21.42808,18.80957,17.40639
20.78731,18.0758,16.6183
19.35564,18.45317,18.16169
19.67953,18.24939,17.71663
19.51598,18.30877,17.85256
21.84247,18.88949,17.50814
21.34437,18.87324,17.61239
21.26298,18.83474,17.43717
21.22211,18.81846,17.34341
19.14244,18.00555,17.47644
21.38214,18.8736,17.71945
21.20232,18.83029,17.79294
21.53943,18.86151,17.47727
20.93844,18.81409,17.97852
19.27865,18.20921,17.85744
20.74756,18.35155,16.88989
20.93512,18.89841,17.98243
20.38918,18.2764,17.4139
19.90493,18.93766,18.62135
19.65588,18.7511,18.41913
20.63591,18.4881,17.63277
21.06807,18.64222,17.20972
21.4926,18.83863,17.36877
20.45825,18.58167,17.78662
19.41702,18.38411,17.99302
21.2494,18.63999,17.31524
20.85428,18.19264,16.83142
19.70263,18.5858,18.19645
20.60783,18.3665,17.46916
19.63787,18.6179,18.32477
19.52883,18.65387,18.32157
21.07045,18.49046,17.16618
20.44092,18.45889,17.61917
20.733,18.27908,17.08502
21.14273,18.65094,17.26833
19.88477,18.63577,18.10351
21.27324,18.56955,17.07674
20.40921,18.69106,18.02334
19.80942,18.77759,18.40662
20.89361,18.8997,18.10471
21.49427,18.60016,17.12154
20.49899,18.07309,16.98215
18.69306,18.58716,18.27866
21.06145,18.70938,17.77997
20.00746,18.93018,18.70811
20.35406,18.1402,17.175
21.4385,18.82802,17.6181
19.98454,18.25869,17.46489
19.97621,18.50783,17.86847
21.2885,18.69897,17.36284
20.70652,18.01503,16.60559
20.73828,18.32378,17.32819
21.18987,18.66654,17.38314
20.59781,18.90901,18.26075
19.59962,18.53472,18.2005
19.94168,18.53213,17.94536
20.9917,18.7472,17.80702
20.20169,18.39569,17.67019
20.38264,18.22753,17.32012
20.0603,18.16277,17.45746
20.63356,18.15785,16.93345
19.30707,18.00821,17.47878
21.62663,18.99459,17.72598
21.02098,18.07121,16.72251
22.33807,18.92465,18.09748
20.58476,18.09568,16.7164
21.25507,18.69775,17.45202
19.64002,18.43954,17.92209
20.9314,18.34189,16.8318
20.29531,18.8402,18.26807
21.25474,18.83222,17.46705
19.75033,18.0111,17.23688
19.26506,18.19099,17.88665
20.28896,18.95219,18.35592
19.81137,18.83698,19.76907
21.37063,18.90231,17.65545
18.73334,18.56428,18.37063
21.19329,18.83992,17.38944
19.09364,18.16701,17.85564
20.97606,18.25848,17.00707
19.85859,18.83704,18.5375
19.71123,18.20528,17.63481
21.09411,18.50349,17.12838
20.73628,18.45718,17.40055
19.46483,18.30833,17.81632
21.26882,18.72532,17.36531
20.60357,18.47224,17.61757
21.13793,18.90444,17.52772
20.67232,18.261,16.84652
21.531,18.67554,17.2171
19.68505,18.77973,18.51101
19.93078,18.09826,17.3121
21.33664,18.9199,17.45084
21.16258,18.39406,16.91703
18.66987,18.41036,18.40033
19.21013,18.11053,17.7262
20.3604,18.61413,17.87965
20.86688,18.67751,17.18119
20.94835,18.46497,17.19593
19.79604,18.71754,18.32957
21.34744,18.90745,17.4697
21.24311,18.65824,17.34695
20.27869,18.04259,17.03101
20.20034,18.02582,17.13771
19.2787,18.13216,18.1742
20.28625,18.17905,17.31899
19.55636,18.38108,17.93779
19.60609,18.00666,17.37811
19.78798,18.07978,17.39723
19.94236,18.36028,17.70452
20.47443,18.09745,16.71071
20.08182,18.92407,18.41139
19.12984,18.26898,18.03081
21.12028,18.57759,17.19367
19.91001,18.34639,17.90034
20.17344,18.1164,17.23557
19.96766,18.74349,18.30433
21.12854,18.79967,17.70885
21.18147,18.50694,17.13075
20.65487,18.77343,17.96388
20.61209,18.17236,17.14941
21.29593,18.80367,17.70196
19.25395,18.28389,18.01386
21.45684,18.94123,17.50478
20.44054,18.22263,17.27117
19.85593,18.35513,17.6836
21.01906,18.61527,17.18192
19.50899,18.04696,17.51323
19.44167,18.26661,17.841
21.55863,18.98734,17.54038
19.42204,18.50974,18.20556
19.95096,18.85706,18.4765
21.32719,18.8649,17.71929
19.94849,18.77666,18.25968
19.63857,18.40104,17.88699
19.60976,18.57105,18.25261
20.9734,18.51021,17.46667
20.62761,18.30087,16.94402
20.85606,18.3591,17.24714
19.91626,18.25239,17.55264
19.96759,18.16936,19.47762
20.25703,18.94333,18.39104
20.88642,18.5098,17.28027
19.28239,18.09017,17.68661
19.66105,18.44319,17.94357
19.57375,18.42515,17.95925
20.63313,18.8565,18.10183
20.17747,18.00694,17.197
19.83408,18.70588,18.26511
19.6899,18.67827,18.29602
20.51991,18.70443,17.9347
20.82253,18.74693,17.87469
19.86261,18.37835,17.78055
20.79805,18.13566,16.69932
20.10759,18.53915,17.84512
19.5495,18.1453,17.62315
20.99434,18.40765,17.30271
21.35326,18.50291,17.26473
21.52363,18.70973,17.59045
20.49862,18.97791,18.51461
21.54898,18.86797,17.42638
20.85867,18.14333,16.77489
19.33939,18.03634,17.53789
21.32479,18.40002,17.18045
21.62753,18.79683,17.3038
19.31331,18.02338,17.58496
20.95116,18.9594,18.22581
19.43956,18.18024,17.74789
19.60571,18.09699,17.54545
20.63032,18.05634,16.88445
20.10805,18.4012,17.76973
20.92599,18.34423,16.95175
20.322,18.47132,17.71848
21.19974,18.70415,17.20535
21.37924,18.73836,17.49053
21.06766,18.43944,17.11847
20.89214,18.7703,17.91191
18.51125,18.47825,18.4217
20.53197,18.0779,16.90366
20.121,18.25073,17.4992
20.06354,18.10915,17.32315
21.20631,18.59105,17.33978
19.55391,18.08839,17.5522
21.04604,18.92938,18.06203
19.70971,18.59727,18.19624
21.59665,18.58236,17.08342
21.09776,18.55768,17.10385
19.82396,18.27416,17.63434
20.68131,18.03742,16.56502
20.68694,18.12931,16.68862
20.60369,18.00145,16.78848
18.28872,18.30537,18.68731
20.68912,18.14508,17.11365
20.4969,18.48675,17.66985
20.09377,18.48573,17.9036
20.95358,18.45978,17.07781
20.6045,18.31799,17.25708
20.32763,18.04279,17.00711
19.84664,18.88786,18.59866
20.88807,18.99094,18.22184
21.22404,18.98506,18.06404
19.18628,18.00709,17.61632
19.26644,18.09036,17.61164
19.54931,18.51587,18.15189
18.60251,18.35223,18.01998
19.30262,18.42324,18.26461
20.71212,18.69229,17.72012
20.36665,18.70513,18.10189
20.54081,18.1867,16.70548
20.69341,18.18924,16.7343
20.6276,18.23498,17.22107
21.59132,18.81023,17.50375
19.17408,18.00021,17.97667
19.85412,18.82762,18.50378
21.1661,18.75841,17.39248
21.04574,18.68912,17.6265
21.12007,18.50088,17.05955
19.35249,18.4248,18.10223
20.92427,18.80983,17.9275
19.14481,18.67937,18.13684
21.21119,18.66163,17.31418
19.61516,18.41035,17.98174
20.02653,18.18155,17.43106
20.72274,18.45855,17.58808
21.24518,18.66883,17.38985
20.32488,18.35439,17.48283
19.17687,18.35032,18.09391
22.05715,18.92129,17.48708
21.3301,18.6743,17.27102
19.82485,18.83925,18.53796
20.55354,18.53616,17.67244
21.44026,18.74139,17.40099
21.31311,18.84521,17.94325
19.18837,18.19062,17.78435
19.47051,18.17764,17.69808
19.97123,18.18725,17.53009
19.63878,18.16754,17.6018
20.75051,18.21241,17.01528
19.39055,18.56765,18.32359
19.18208,18.3379,18.01595
20.85661,18.68941,17.75641
19.76719,18.42222,18.07074
21.19875,18.52681,17.11674
19.07401,18.00162,17.61268
20.23748,18.96041,18.41074
19.28302,18.0028,17.41684
20.54839,18.09037,17.14914
21.0739,18.37142,16.95363
21.41521,18.97801,17.58694
19.49347,18.4666,18.08604
19.92237,18.96055,18.64729
19.16601,18.2153,17.94673
20.86169,18.21455,16.82006
21.19588,18.92844,17.88284
21.00454,18.30796,16.89776
20.10576,18.65033,18.15101
21.57966,18.88742,17.37578
19.63213,18.58441,18.1852
20.34087,18.43695,17.65178
21.66986,18.81093,17.42726
20.74558,18.08078,16.72623
19.83968,18.37234,17.83382
19.23583,18.20806,17.92192
21.34049,18.42018,16.98913
19.54771,18.49941,18.44929
20.20895,18.69324,18.1511
24.63468,18.81579,18.25517
20.52871,18.48887,17.65812
21.56442,18.73409,17.33596
23.42096,18.05766,16.59372
19.85872,18.49507,18.0338
21.37673,18.98559,17.53305
20.56483,18.70065,17.91224
21.34014,18.83586,17.4654
20.4513,18.91599,18.35792
19.58977,18.13025,17.56598
20.30351,18.79228,18.16191
20.12445,18.56355,18.12321
19.73046,18.15803,17.48306
20.6208,18.58366,17.69167
20.29118,18.30026,17.59052
20.75654,18.96597,18.35724
19.40829,18.48541,18.33283
19.23913,18.0668,17.69715
19.97661,18.76139,18.25373
19.78093,18.88662,18.58507
20.17978,18.83574,18.30412
21.20836,18.78751,17.37298
19.98998,18.84505,18.42414
21.39761,18.61885,17.1638
19.55891,18.09624,17.46062
19.72237,18.54781,17.99098
19.94271,18.93505,18.40489
20.8259,18.06587,16.7069
20.22839,18.03483,17.05118
19.81268,18.29139,17.65016
19.71311,18.78424,18.51144
19.44253,18.60066,18.32003
21.19643,18.97112,17.94476
20.03607,18.43349,17.79005
19.20468,18.31318,18.07294
20.32292,18.4782,17.7248
19.37037,18.47317,18.17407
19.3009,18.26952,17.90353
19.14397,18.17195,17.80224
21.89375,18.98133,17.55594
19.34641,18.35726,17.97756
19.69312,18.31557,17.80809
20.48511,18.7009,17.99568
20.58423,18.8717,18.136
18.79169,18.32647,18.50023
21.02165,18.7311,17.78233
20.22632,18.39252,17.69923
21.52396,18.79432,17.3983
21.02007,18.50567,17.1479
20.30464,18.54958,17.87037
21.21798,18.64743,17.28966
20.52504,18.18472,17.1115
20.10375,18.73331,18.17293
21.3299,18.73927,17.2932
19.42635,18.51895,18.26777
19.32181,18.45011,18.16212
19.80387,18.48446,17.96473
20.79231,18.55354,17.61649
19.47303,18.22244,17.73283
20.42661,18.00105,16.60422
21.7105,18.89343,17.50204
20.60933,18.08471,16.82959
22.02003,18.94855,17.5355
19.36484,18.39202,18.16214
19.86862,18.94462,18.59139
20.35445,18.72986,18.0311
21.39394,18.85906,17.38811
19.84986,18.75036,18.26838
20.2965,18.56386,17.83433
20.67396,18.28588,16.88434
21.34363,18.94166,17.48018
19.14788,18.04736,17.63627
19.29687,18.31556,17.9383
20.22382,18.47302,17.82957
20.23378,18.43959,17.74239
20.69914,18.05739,16.93397
20.37456,18.16984,17.30012
20.53738,18.12687,16.92807
21.2375,18.57506,17.17727
20.92346,18.60239,17.61959
21.0607,18.98741,18.05041
21.1461,18.57402,17.19597
20.30883,18.16201,17.21426
21.45177,18.95412,17.46095
20.87617,18.64721,17.72682
20.88405,18.13374,16.72076
20.9134,18.07101,16.77164
20.93559,18.43164,17.30603
19.32095,18.75279,18.79838
19.08386,18.21694,17.92088
21.30163,18.56714,17.10397
21.04164,18.12809,16.72886
20.11514,18.68656,18.12626
20.38588,18.56483,17.83155
20.97493,18.82822,17.89639
19.82409,18.83455,18.55675
21.77686,18.8642,17.3888
20.61784,18.27135,17.30046
21.44813,18.78817,17.26403
20.3762,18.67111,17.97154
21.3415,18.73167,17.44177
19.90001,18.48869,17.87987
21.10166,18.59668,17.05297
20.95067,18.52518,17.45076
20.47243,18.92379,18.34841
21.11823,18.49276,17.23406
18.47979,18.27915,18.09203
20.73633,18.22631,17.11799
20.50892,18.873,18.12774
21.28257,18.58521,17.20813
21.2426,18.91503,18.00705
20.0909,18.57898,17.98849
19.66698,18.78875,18.44298
20.59342,18.97492,18.2838
20.63989,18.43445,17.50657
20.95438,18.60561,17.13541
21.32163,18.69607,17.49545
19.80248,18.75719,18.30774
20.27744,18.43914,17.72304
19.69941,18.12242,17.48635
21.2413,18.47218,17.02417
20.99185,18.36323,16.97997
19.94424,18.66338,18.14624
19.45339,18.79049,18.6967
20.97174,18.15541,16.72399
19.41183,18.17557,17.65808
21.26918,18.79278,17.52928
20.08379,18.00018,17.07839
21.16601,18.6819,17.30315
20.4947,18.07279,17.05592
20.9324,18.38536,16.94614
19.40597,18.4251,18.09567
19.54955,18.67079,18.38558
19.8258,18.85944,19.0605
21.45614,18.88118,17.46644
19.64148,18.669,18.34782
20.38008,18.35318,17.55879
21.19007,18.76805,17.77625
19.71612,18.10879,17.68009
21.28661,18.78123,17.68835
19.61925,18.7343,18.49847
20.24863,18.33468,17.52795
20.48867,18.86613,18.13123
21.52917,18.89851,17.48702
20.59074,18.84886,18.18408
20.76902,18.43366,17.2565
18.72795,18.65196,18.95771
20.94846,18.87397,17.80898
21.60818,18.81849,17.31128
21.24982,18.76643,17.40199
21.52068,18.70634,17.49615
21.21385,18.73379,17.45476
19.1128,18.0047,18.05279
19.30047,18.10214,17.69228
19.43894,18.03911,17.44259
19.79349,18.7411,18.32413
20.87289,18.99286,18.21083
20.25627,18.45671,17.64846
20.05675,18.90942,18.32802
21.05386,18.51954,17.14231
19.76691,18.78449,18.41805
20.99825,18.74055,17.80643
19.92766,18.97555,18.66861
20.96749,18.43175,17.27256
21.37395,18.97014,17.4621
19.41958,18.06291,17.53767
20.39008,18.88826,18.29109
19.85762,18.85658,18.53557
21.33948,18.96392,17.8324
19.1191,18.16055,17.85822
19.75005,18.40411,17.69927
20.00328,18.02387,17.16361
19.42826,18.17019,17.56873
20.45879,18.73248,18.05623
19.18745,18.27292,17.94404
19.52101,18.31459,17.84057
19.48945,18.52609,18.12342
20.33797,18.88243,18.23859
21.21168,18.75154,17.39618
21.93707,18.90663,17.59033
19.51704,18.3319,17.77592
21.27808,18.84191,17.60208
20.36342,18.15486,17.19597
20.81594,18.44496,17.01094
19.98577,18.79083,18.25144
20.47561,18.3975,17.44739
19.61097,18.4364,18.04812
21.09212,18.95183,18.06108
20.62457,18.92139,18.20732
19.58431,18.84739,18.29101
20.3005,18.34955,17.67135
21.22563,18.51121,17.20196
20.16911,18.96606,18.51419
