#Table1
ra,dec,z
173.67387,41.396381,0.001008891
175.9405,1.0178799,0.001008902
196.44876,42.643845,0.001008947
339.46679,24.204276,0.001008954
140.30385,7.311739,0.001008978
156.83317,3.2787003,0.001009052
131.33077,20.744693,0.001009145
183.39173,2.761309,0.001009149
143.58021,11.906603,0.001009199
160.43626,10.403062,0.001009325
155.62209,16.639463,0.001009446
156.22485,-0.90332362,0.001009471
214.97373,56.722257,0.001009499
188.90715,-2.6853046,0.001009597
134.49199,4.6995787,0.001009609
157.1544,-0.38142252,0.001009624
149.56979,-0.66103947,0.001009634
163.87325,-2.1114912,0.001009637
162.32724,-0.29552245,0.001009765
130.34536,17.278795,0.001009783
151.55971,3.8420812,0.001009832
123.49848,38.083051,0.001009851
158.52578,8.7505957,0.001009863
149.31149,11.643767,0.001009903
155.46583,7.947688,0.001009905
117.93475,35.115089,0.001010007
129.55242,18.308172,0.001010031
129.61403,12.568488,0.001010032
162.38539,8.6526905,0.001010061
167.15931,-17.370619,0.001010132
139.90132,21.289365,0.001010139
166.20304,-2.4462464,0.001010202
180.12609,6.1058589,0.001010216
125.40826,11.448168,0.001010266
140.81148,1.135566,0.001010326
185.06435,-2.0998679,0.001010339
151.39543,0.109155,0.001010375
189.74137,0.480193,0.001010439
168.19732,8.69785,0.001010468
183.29081,57.712921,0.001010524
158.23421,-2.1635926,0.001010545
133.9471,10.234677,0.001010552
172.41255,0.29794317,0.001010577
189.68969,-1.9582792,0.001010665
123.04623,-6.87097,0.001010666
166.47009,-1.1584919,0.001010715
135.19245,5.4611984,0.001010786
149.14789,15.320765,0.001010832
143.49979,9.0873675,0.001010856
145.38736,22.801352,0.001010907
211.06031,54.46754,0.001010912
185.46117,15.112839,0.001010916
70.489572,25.170826,0.001011019
167.61811,-16.660889,0.001011064
12.618992,1.9533089,0.001011133
141.83994,6.092891,0.001011257
135.71325,14.05745,0.001011283
20.8279,7.4555448,0.001011294
196.79256,8.72506,0.00101131
136.77073,2.4263152,0.001011424
192.28586,-1.1170195,0.001011441
163.61662,4.9586312,0.00101147
156.44306,3.8337601,0.001011517
128.37457,-4.377214,0.001011593
211.01133,-10.215539,0.001011622
164.91792,17.785044,0.001011624
154.53329,27.889252,0.001011635
147.92886,0.81318849,0.001011653
152.39008,7.4759937,0.001011663
190.48251,-0.29988378,0.001011674
180.15324,0.124231,0.001011884
190.77735,-8.410539,0.001011905
207.2227,22.467311,0.00101192
131.91347,15.097198,0.001012094
188.24288,31.567818,0.001012136
151.07743,-1.1893581,0.001012188
150.04786,0.35583,0.001012201
174.98408,42.22148,0.001012201
167.08602,0.92017662,0.001012214
131.79499,11.819062,0.001012228
112.78652,40.018536,0.001012271
135.39618,5.4127054,0.001012327
191.86209,-8.190807,0.00101233
161.39873,1.162287,0.001012385
142.88568,7.424066,0.001012387
115.25775,17.342771,0.00101254
128.0415,27.281087,0.001012561
152.76665,15.98243,0.001012633
133.21552,17.945549,0.00101266
229.07485,16.931274,0.001012681
210.9009,54.530577,0.001012752
116.42321,28.384564,0.001012781
185.81205,-1.7250802,0.001012798
132.99475,35.378513,0.001012806
127.41008,21.823415,0.001012835
151.90615,0.44956887,0.001012895
143.69125,32.281419,0.001012895
216.6223,53.612949,0.001013004
121.58783,15.276001,0.001013056
184.68296,-2.1139662,0.001013093
143.30723,-2.6068334,0.001013132
151.3271,4.1502376,0.001013224
156.81039,4.7612335,0.001013311
118.87426,46.437471,0.001013499
181.58746,18.884452,0.001013634
188.44944,15.15418,0.001013737
123.4205,-0.107447,0.001013756
167.73776,8.891207,0.001013767
180.64667,1.110292,0.001013794
142.4849,7.319856,0.001013817
186.31687,32.175174,0.00101386
238.46837,0.50333906,0.001013879
154.20269,21.487892,0.001013943
10.997752,21.787275,0.001013966
188.36193,-0.808953,0.001013971
137.64216,4.0783731,0.001013973
200.88023,47.448485,0.001014012
181.16824,-0.157327,0.00101406
126.84833,21.410387,0.001014073
129.8518,13.719693,0.001014122
250.48013,16.65558,0.001014214
123.0553,23.374078,0.001014231
199.14292,1.0351902,0.001014237
234.43968,36.138508,0.001014254
69.002669,25.315801,0.001014284
162.77935,15.198618,0.00101432
190.64176,0.13041339,0.001014334
153.16712,26.275023,0.00101434
144.71358,8.562423,0.001014373
140.03348,21.334671,0.001014393
59.845844,-5.692186,0.001014492
168.36232,8.3647859,0.001014495
168.31274,7.6897083,0.001014498
171.67124,-8.748395,0.001014595
157.12095,9.588027,0.001014671
144.74272,8.551572,0.001014684
199.76089,17.655481,0.001014693
150.70586,12.149682,0.001014706
160.27553,19.643995,0.001014709
143.18725,10.337866,0.001014752
25.876955,-0.57200195,0.001014758
122.73194,26.589263,0.001014813
135.18536,25.787376,0.001014819
158.83398,1.0582223,0.001014858
123.90105,4.0301257,0.001014906
141.33822,8.328117,0.001014922
141.35525,13.991081,0.001014948
166.66993,-16.233796,0.001014954
137.48985,2.542269,0.001015051
26.856389,27.351083,0.001015124
105.46071,11.625194,0.001015149
166.35628,3.418525,0.001015306
137.48724,26.367202,0.001015313
184.20101,7.6604412,0.001015321
162.52768,14.682062,0.001015334
161.14361,7.7784385,0.00101535
141.83831,19.599624,0.001015388
137.11081,29.01602,0.001015455
153.32661,26.94076,0.001015622
142.02341,15.132622,0.001015679
172.29197,-0.18633637,0.001015802
127.58681,6.5768678,0.001015811
220.04825,-0.56387731,0.001015908
72.439126,0.24297592,0.001015911
182.89578,0.65276744,0.001015974
191.58691,12.910504,0.001015985
239.78365,10.468144,0.001016003
220.07272,28.032903,0.001016059
134.17947,4.168316,0.001016061
12.366554,26.259156,0.001016063
124.89831,7.2290311,0.001016068
194.03816,-2.9332316,0.001016071
117.70444,24.271056,0.001016177
214.9784,56.764968,0.001016199
179.32364,0.42297376,0.001016241
159.33976,19.653663,0.001016268
123.31162,-7.740038,0.00101629
150.28116,1.04335,0.001016319
185.94087,4.7140989,0.001016353
184.84593,23.438563,0.001016386
162.20736,26.392688,0.001016423
167.1727,3.8976388,0.001016428
209.00602,3.4254919,0.001016482
120.23122,13.342449,0.00101649
142.5436,9.263917,0.001016611
182.04633,18.907359,0.001016642
156.98123,0.71661942,0.001016737
192.05121,-2.301923,0.001016782
172.48442,8.5672848,0.001016792
194.64516,-2.1357621,0.001016826
186.32767,26.715998,0.001016829
324.58532,0.20980145,0.001016857
133.6346,17.797095,0.001016864
238.2017,42.61813,0.001016881
151.96236,34.350893,0.00101689
154.16851,13.423335,0.00101689
122.50502,6.878359,0.00101692
130.39357,15.933871,0.001016984
191.73814,-0.34960878,0.001017042
228.37832,2.6430949,0.001017063
139.13798,17.8645,0.001017105
47.030941,1.007196,0.001017229
191.23715,65.99389,0.00101729
17.497958,0.10464076,0.00101729
147.08753,7.0113851,0.001017417
123.67464,0.598155,0.00101751
131.99336,10.617437,0.00101754
156.68345,1.4282627,0.001017547
180.23456,63.388408,0.001017667
154.55127,53.55005,0.001017709
170.74098,-0.68987882,0.00101781
218.89045,19.968537,0.001017861
201.05342,15.786526,0.001017917
160.58392,47.851217,0.001017921
144.10937,2.4822132,0.001017975
150.0296,-1.4062799,0.001018027
134.46819,4.9784148,0.001018124
183.38417,0.63529632,0.001018186
149.99077,13.651269,0.001018343
156.28929,9.269538,0.001018371
32.830601,-3.2849709,0.001018382
119.0946,11.365365,0.001018444
135.87617,-2.3607723,0.001018489
117.8584,23.012816,0.00101849
119.38607,29.461558,0.001018514
144.56314,-1.052174,0.001018533
173.54614,-1.184411,0.001018579
163.84763,2.2752361,0.001018589
115.87945,17.789609,0.001018603
162.57763,0.013818,0.001018646
172.51932,-7.942517,0.001018703
7.99228749999997,18.008233,0.001018744
129.34402,12.227693,0.001018845
141.16028,0.0074835657,0.001018933
151.08795,3.2503935,0.001018958
130.91395,3.5715875,0.001019024
154.20624,16.075852,0.001019048
179.67694,-0.316129,0.001019108
136.23689,8.5214422,0.001019122
136.49645,5.9117028,0.001019261
167.5938,-0.70434724,0.001019304
174.56985,-0.605842,0.001019352
126.92964,27.896032,0.001019428
180.08691,24.417726,0.00101954
58.911772,10.975264,0.001019555
192.74413,3.4620604,0.001019639
125.72342,21.845557,0.00101982
145.97131,11.992693,0.001019836
71.355691,-4.525588,0.001019841
193.22097,59.852483,0.001019848
33.651721,-0.446788,0.001019855
132.31765,4.854585,0.001019929
144.52602,11.923383,0.001019953
143.76447,14.176949,0.001019978
194.82575,1.1364034,0.001019987
147.12006,16.297741,0.001019988
169.84331,-11.409147,0.001020022
124.48951,4.1236491,0.00102004
136.5807,-2.4795864,0.001020111
163.70177,3.5277481,0.001020138
169.68697,-12.456365,0.001020155
117.1726,19.203396,0.001020156
140.47476,14.625133,0.001020166
114.84203,29.677032,0.001020166
143.74555,13.560099,0.00102019
121.80193,6.444373,0.001020244
235.70278,43.484008,0.001020264
127.33888,12.701102,0.001020274
150.34818,2.3269863,0.001020314
183.05676,14.197851,0.001020338
132.35728,5.1189973,0.001020373
161.12624,44.191891,0.001020401
140.6415,35.585146,0.001020434
222.14912,53.392791,0.00102044
161.74968,10.107575,0.001020445
118.54022,0.069938654,0.001020459
159.10314,-2.6781189,0.001020493
142.96159,16.204337,0.001020499
182.08691,0.3881878,0.001020532
166.69694,10.782054,0.001020543
149.4463,14.60043,0.001020622
135.64536,8.6448396,0.001020656
131.56519,5.776446,0.00102067
151.2377,13.634856,0.001020697
139.74336,21.319218,0.001020742
183.95063,36.262606,0.001020826
191.0521,-2.19208,0.001020844
196.4473,37.579983,0.001020862
159.5149,2.7971569,0.001020919
192.06535,-2.6715883,0.001021033
122.93411,4.0831769,0.001021084
196.62099,21.287182,0.001021251
47.16364,5.093022,0.0010213
153.5137,-2.1177218,0.001021331
237.76008,60.736777,0.001021346
173.91284,27.286325,0.001021368
185.5663,4.7348105,0.00102143
50.784498,4.644471,0.001021439
115.13649,32.908921,0.001021477
131.44282,0.98877105,0.001021517
135.8684,9.3163599,0.001021596
166.03581,-1.1055659,0.001021673
334.39758,13.371471,0.001021718
138.60665,19.090788,0.001021791
348.71306,23.217075,0.001021934
138.79898,2.5780342,0.001021949
149.08293,-1.3990938,0.001021962
117.05451,20.69522,0.001022008
150.83388,15.691922,0.001022043
201.70065,3.9221734,0.001022057
153.89572,17.45074,0.001022063
157.83242,9.8948048,0.001022143
343.17654,27.613707,0.001022245
36.144309,0.13200022,0.001022261
129.44119,46.213495,0.001022306
171.11556,20.531838,0.001022338
161.56922,-0.383875,0.001022364
210.84394,-0.87531806,0.001022454
171.94792,8.2057511,0.00102254
187.13384,-1.1442368,0.001022581
31.947619,4.746433,0.001022596
182.05486,0.2440576,0.001022681
138.45017,1.2993321,0.001022752
145.47511,6.5174692,0.001022765
334.01459,29.720254,0.001022919
142.22125,5.1866954,0.001022927
201.84831,0.92922004,0.001022968
136.83224,3.1874141,0.001023032
326.35202,-0.89551549,0.001023039
138.53755,29.110478,0.001023044
162.24014,0.777179,0.001023127
133.06616,1.5566077,0.001023178
234.55349,32.497808,0.001023201
141.03779,16.288988,0.001023279
132.9034,28.931434,0.001023365
151.32772,26.921484,0.001023385
161.27468,-1.3204704,0.001023434
127.64508,16.079593,0.0010235
172.92077,-6.681384,0.001023503
181.38915,3.8504416,0.001023611
177.17048,1.4669273,0.001023613
153.50019,9.6258044,0.001023706
39.437159,1.1812047,0.001023727
137.97878,7.9179967,0.001023731
190.73851,-8.194622,0.001023732
156.43337,8.56069,0.001023734
58.896683,-5.60665,0.001023744
143.86554,43.454003,0.001023771
200.80488,2.7246105,0.001023775
131.91149,-0.79214558,0.00102379
204.54055,-2.3480274,0.001023973
207.82655,27.348381,0.001024007
340.84643,0.88079413,0.001024084
133.62609,-1.0243544,0.001024098
202.7249,-2.8560939,0.001024108
179.98901,4.1563091,0.001024132
250.66822,40.125946,0.001024155
117.13107,17.844032,0.001024192
168.87123,10.822414,0.001024236
165.5757,55.361146,0.001024285
148.86434,3.0230881,0.001024487
179.23368,-0.38794954,0.00102449
